WKT,Pulau Sumatera,Latitude,Longitude
"POINT (96.7493993 4.695135)",Provinsi Aceh, 4.695135, 96.7493993
"POINT (99.5450974 2.1153547)",Provinsi Sumatera Utara, 2.1153547, 99.5450974
"POINT (100.8000051 -0.7399397)",Provinsi Sumatera Barat, -0.7399397, 100.8000051
"POINT (101.7068294 0.2933469)",Provinsi Riau, 0.2933469, 101.7068294
"POINT (102.4380581 -1.4851831)",Provinsi Jambi, -1.4851831, 102.4380581
"POINT (103.914399 -3.3194374)",Provinsi Sumatera Selatan, -3.3194374, 103.914399
"POINT (102.3463875 -3.5778471)",Provinsi Bengkulu, -3.5778471, 102.3463875
"POINT (105.4068079 -4.5585849)",Provinsi Lampung, -4.5585849, 105.4068079
"POINT (106.4405872 -2.7410513)",Provinsi Kepulauan Bangka Belitung, -2.7410513, 106.4405872
"POINT (108.1428669 3.9456514)",Provinsi Kepulauan Riau, 3.9456514, 108.1428669
