WKT,Jawa Barat,Latitude,Longitude
"POINT (106.8 -6.6)",Kabupaten Bogor, -6.6, 106.8  
"POINT (106.922203 -6.92405)",Kabupaten Sukabumi, -6.92405, 106.922203  
"POINT (107.1307289 -6.8172531)",Kabupaten Cianjur, -6.8172531, 107.1307289  
"POINT (107.6098111 -6.9147444)",Kabupaten Bandung, -6.9147444, 107.6098111  
"POINT (107.908699 -7.227906)",Kabupaten Garut, -7.227906, 107.908699  
"POINT (108.214104 -7.327954)",Kabupaten Tasikmalaya, -7.327954, 108.214104  
"POINT (108.35 -7.3333333)",Kabupaten Ciamis, -7.3333333, 108.35  
"POINT (108.4833333 -6.9833333)",Kabupaten Kuningan, -6.9833333, 108.4833333  
"POINT (108.564003 -6.715534)",Kabupaten Cirebon, -6.715534, 108.564003  
"POINT (108.2258897 -6.8531026)",Kabupaten Majalengka, -6.8531026, 108.2258897  
"POINT (108.325104 -6.336315)",Kabupaten Indramayu, -6.336315, 108.325104  
"POINT (107.752403 -6.569361)",Kabupaten Subang, -6.569361, 107.752403  
"POINT (107.4499404 -6.5386806)",Kabupaten Purwakarta, -6.5386806, 107.4499404  
"POINT (107.3375791 -6.3227303)",Kabupaten Karawang, -6.3227303, 107.3375791  
"POINT (107.0 -6.2333333)",Kabupaten Bekasi, -6.2333333, 107  
"POINT (107.4321959 -6.8937121)",Kabupaten Bandung Barat, -6.8937121, 107.4321959  
"POINT (106.8 -6.6)",Kota Bogor, -6.6, 106.8  
"POINT (106.922203 -6.92405)",Kota Sukabumi, -6.92405, 106.922203  
"POINT (107.6098111 -6.9147444)",Kota Bandung, -6.9147444, 107.6098111  
"POINT (108.564003 -6.715534)",Kota Cirebon, -6.715534, 108.564003  
"POINT (107.0 -6.2333333)",Kota Bekasi, -6.2333333, 107  
"POINT (106.83 -6.39)",Kota Depok, -6.39, 106.83  
"POINT (107.5355 -6.880239)",Kota Cimahi, -6.880239, 107.5355  
"POINT (108.214104 -7.327954)",Kota Tasikmalaya, -7.327954, 108.214104  
"POINT (108.5333333 -7.3666667)",Kota Banjar, -7.3666667, 108.5333333  
"POINT (107.9275324 -6.8381188)",Kabupaten Sumedang,-6.8381188,107.9275324
