WKT,Jawa Timur,Latitude,Longitude
"POINT (114.3669444 -8.2186111)",Kabupaten Banyuwangi, -8.2186111, 114.3669444  
"POINT (111.505483 -7.627753)",Kabupaten Madiun, -7.627753, 111.505483  
"POINT (111.466003 -7.867827)",Kabupaten Ponorogo, -7.867827, 111.466003  
"POINT (111.3381593 -7.6493413)",Kabupaten Magetan, -7.6493413, 111.3381593  
"POINT (111.08769 -8.204614)",Kabupaten Pacitan, -8.204614, 111.08769  
"POINT (111.46193 -7.38993)",Kabupaten Ngawi, -7.38993, 111.46193  
"POINT (112.7450068 -7.0306912)",Kabupaten Bangkalan, -7.0306912, 112.7450068  
"POINT (112.0186229 -7.8494909)",Kabupaten Kediri,-7.8494909,112.0186229
"POINT (113.708595 -7.913805)",Kabupaten Bondowoso, -7.913805, 113.708595  
"POINT (112.1565796 -8.0865477)",Kabupaten Blitar, -8.0865477, 112.1565796  
"POINT (112.0189665 -7.8488105)",Kota Kediri,-7.8488105,112.0189665
